,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Lloyd Pierce,ATL,,2,2,,67,20,47,149,49,100,149,49,100,0.329,,,,,,,,,,,2019-2020
Brad Stevens,BOS,,7,7,,72,48,24,564,318,246,564,318,246,0.564,,17,10,7,73,37,36,73,37,36,2019-2020
Kenny Atkinson,BRK,,4,4,,62,28,34,308,118,190,308,118,190,0.383,,,,,5,1,4,5,1,4,2019-2020
Jacque Vaughn,BRK,,1,4,,10,7,3,10,7,3,226,65,161,0.288,,4,0,4,4,0,4,4,0,4,2019-2020
Jim Boylen,CHI,,2,2,,65,22,43,123,39,84,123,39,84,0.317,,,,,,,,,,,2019-2020
James Borrego,CHO,,2,3,,65,23,42,147,62,85,177,72,105,0.407,,,,,,,,,,,2019-2020
John Beilein,CLE,,1,1,,54,14,40,54,14,40,54,14,40,0.259,,,,,,,,,,,2019-2020
J.B. Bickerstaff,CLE,,1,4,,11,5,6,11,5,6,227,90,137,0.396,,,,,,,,5,1,4,2019-2020
Rick Carlisle,DAL,,12,18,,75,43,32,961,513,448,1453,794,659,0.546,,6,2,4,64,30,34,126,60,66,2019-2020
Michael Malone,DEN,,5,7,,73,46,27,401,219,182,507,258,249,0.509,,19,9,10,33,16,17,33,16,17,2019-2020
Dwane Casey,DET,,2,11,,66,20,46,148,61,87,828,434,394,0.524,,,,,4,0,4,55,21,34,2019-2020
Steve Kerr,GSW,,6,6,,65,15,50,475,337,138,475,337,138,0.709,,,,,105,77,28,105,77,28,2019-2020
Mike D'Antoni,HOU,,4,16,,72,44,28,318,217,101,1199,672,527,0.56,,12,5,7,51,28,23,110,54,56,2019-2020
Nate McMillan,IND,,4,16,,73,45,28,319,183,136,1249,661,588,0.529,,4,0,4,19,3,16,53,17,36,2019-2020
Doc Rivers,LAC,,7,21,,72,49,23,564,356,208,1624,943,681,0.581,,13,7,6,59,27,32,180,91,89,2019-2020
Frank Vogel,LAL,,1,9,,71,52,19,71,52,19,666,356,310,0.535,,21,16,5,21,16,5,82,47,35,2019-2020
Taylor Jenkins,MEM,,1,1,,73,34,39,73,34,39,73,34,39,0.466,,,,,,,,,,,2019-2020
Erik Spoelstra,MIA,,12,12,,73,44,29,959,567,392,959,567,392,0.591,,21,14,7,139,85,54,139,85,54,2019-2020
Mike Budenholzer,MIL,,2,7,,73,56,17,155,116,39,565,329,236,0.582,,10,5,5,25,15,10,64,32,32,2019-2020
Ryan Saunders,MIN,,2,2,,64,19,45,106,36,70,106,36,70,0.34,,,,,,,,,,,2019-2020
Alvin Gentry,NOP,,5,17,,72,30,42,400,175,225,1105,510,595,0.462,,,,,9,5,4,30,17,13,2019-2020
David Fizdale,NYK,,2,4,,22,4,18,104,21,83,205,71,134,0.346,,,,,,,,6,2,4,2019-2020
Mike Miller,NYK,,1,1,,44,17,27,44,17,27,44,17,27,0.386,,,,,,,,,,,2019-2020
Billy Donovan,OKC,,5,5,,72,44,28,400,243,157,400,243,157,0.608,,7,3,4,41,18,23,41,18,23,2019-2020
Steve Clifford,ORL,,2,7,,73,33,40,155,75,80,565,271,294,0.48,,5,1,4,10,2,8,21,5,16,2019-2020
Brett Brown,PHI,,7,7,,73,43,30,565,221,344,565,221,344,0.391,,4,0,4,26,12,14,26,12,14,2019-2020
Monty Williams,PHO,,1,6,,73,34,39,73,34,39,467,207,260,0.443,,,,,,,,10,2,8,2019-2020
Terry Stotts,POR,,8,12,,74,35,39,648,360,288,931,475,456,0.51,,5,1,4,56,20,36,61,21,40,2019-2020
Luke Walton,SAC,,1,4,,72,31,41,72,31,41,318,129,189,0.406,,,,,,,,,,,2019-2020
Gregg Popovich,SAS,,24,24,,71,32,39,1891,1277,614,1891,1277,614,0.675,,,,,284,170,114,284,170,114,2019-2020
Nick Nurse,TOR,,2,2,,72,53,19,154,111,43,154,111,43,0.721,,11,7,4,35,23,12,35,23,12,2019-2020
Quin Snyder,UTA,,6,6,,72,44,28,482,271,211,482,271,211,0.562,,7,3,4,34,13,21,34,13,21,2019-2020
Scott Brooks,WAS,,4,11,,72,25,47,318,149,169,863,487,376,0.564,,,,,19,9,10,92,48,44,2019-2020
